validation_case_id,security_id,ticker,asof_date,candidate_id,base_id,lineage_id,pattern,pattern_status,structural_end,pivot_level,pivot_source_date,pivot_crossed_intraday,volume_ratio,C_screen_state,A_screen_state,L_individual_leadership_state,rs_rating_proxy_percentile,M_market_state,M_entry_state,candidate_stage,eligibility_reason_codes,annual_eps_growth_measure,evidence_adapter_reason_codes
00031444ff2d18d6,US49907V2016,KSCP,2025-12-31,58ab01997124bbfff5b8ef1c,base_5a572b998ef693860670,lineage_97f1254a88105bb828d6,FLAT_BASE,REJECTED,2025-11-12,10.14000034,2025-07-18,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,13.2307692308,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,NOT_ELIGIBLE,"[""PATTERN_REJECTED""]",,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
000314e7790165d5,VGG2788T1113,DOGZ,2025-12-31,c611efd21526e906afad1046,base_22fa28316de3281fb349,lineage_fcac0dd46107156c97ff,DOUBLE_BOTTOM,REJECTED,2025-09-24,14.29990005,2025-09-19,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,9.5384615385,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,NOT_ELIGIBLE,"[""PATTERN_REJECTED""]",,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
000383a729b7830d,US1570851014,CERS,2025-12-31,4b12ee4ba2ba7298bebcb691,base_8ebe12ccca826d6cde9e,lineage_14709d7d7db52cb2f721,DOUBLE_BOTTOM,RECOGNIZED,2025-09-10,1.60000002,2025-07-02,False,,NOT_EVALUABLE,NOT_EVALUABLE,PASS,85.2307692308,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,PIVOT_DEFINED,"[""BREAKOUT_ALREADY_OCCURRED""]",,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_GE_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
00067de66bcd14c8,US98370X1037,XCH,2025-12-31,6f5cff7bccc8c1bfcc5d72b8,base_a0b658100d369de7f5d9,lineage_d986eb4ec6f84bb90a50,CUP_WITH_HANDLE,AMBIGUOUS,2025-10-15,28.60000038,2025-09-22,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,2.1538461538,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,NOT_ELIGIBLE,"[""PATTERN_AMBIGUOUS""]",,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
0007c2d76c3c24a5,US1570851014,CERS,2024-12-31,18f0283adcad11f0fe7e3810,base_d10eb5c8e84b834ffdc5,lineage_808f215203528d03209c,CUP_WITH_HANDLE,AMBIGUOUS,2024-05-15,2.0,2024-05-03,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,12.0,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,NOT_ELIGIBLE,"[""PATTERN_AMBIGUOUS""]",,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
00025aa35d388fea,VGG2788T1113,DOGZ,2025-09-30,52f0387a887961a496907f8b,base_0b6f12ea9100cb14f606,lineage_fcac0dd46107156c97ff,CUP_WITH_HANDLE,AMBIGUOUS,2025-06-02,56.01499939,2024-12-06,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,8.0,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,NOT_ELIGIBLE,"[""PATTERN_AMBIGUOUS""]",,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
0002d0ff38563723,US53216B1044,LFMD,2023-06-30,221d7d599901ecdb2149d306,base_6c8612139285e32ab9a9,lineage_dce02aa3dfac6a20108e,CUP_WITH_HANDLE,AMBIGUOUS,2022-11-23,2.70000005,2022-11-15,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,4.7692307692,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,NOT_ELIGIBLE,"[""PATTERN_AMBIGUOUS""]",,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
0004b15099b33034_DUP,US03211Q2003,AMPG,2023-06-30,e853824337a7e519eb666f3b,base_b05cfd43ab7ea9dcf13c,lineage_6a64dd512ea05f2e6eb3,CUP_WITH_HANDLE,AMBIGUOUS,2022-11-28,2.77999997,2022-07-22,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,0.7692307692,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,NOT_ELIGIBLE,"[""PATTERN_AMBIGUOUS""]",,"[]"
0004c708babc8e1a_DUP,KYG8552M1179,SUGP,2025-09-30,fb8b88148ef924d3669e30d4,base_a3a4c26859e75cad9424,lineage_a613599695333d5ac9c1,CUP_WITH_HANDLE,AMBIGUOUS,2025-07-25,96.59999847,2024-11-26,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,0.3076923077,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,NOT_ELIGIBLE,"[""PATTERN_AMBIGUOUS""]",,"[]"
000588558b7881ad_DUP,US98955K1043,ZVIA,2024-09-30,bd766f3b66e570d1df8958d7,base_c31b52d43b24361a2878,lineage_d9630e2e24812ba536d4,CUP_WITH_HANDLE,AMBIGUOUS,2024-09-30,2.0999999,2023-10-11,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,12.7692307692,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,NOT_ELIGIBLE,"[""PATTERN_AMBIGUOUS""]",,"[]"
